id,carat,cut,color,clarity,depth,table,x,y,z,price
8,2.05,4,6,1,62.4,57.0,8.17,8.09,5.08,18193
34,2.01,0,1,4,64.9,60.0,7.82,7.78,5.06,13744
42,2.0,1,2,3,64.2,52.0,7.91,7.88,5.07,11400
72,2.0,1,7,3,60.3,56.0,8.08,8.11,4.88,16425
82,2.28,4,1,4,62.7,57.0,8.43,8.36,5.26,16450
93,2.02,2,2,1,60.4,58.0,8.2,8.16,4.94,17357
141,2.0,3,3,3,60.7,60.0,8.07,8.11,4.91,15312
154,2.01,3,2,0,61.5,62.0,8.07,7.94,4.92,15475
165,2.31,3,2,3,62.9,58.0,8.43,8.34,5.27,17218
167,2.01,4,3,1,60.6,57.0,8.19,8.09,4.92,17383
193,2.02,4,3,3,62.7,57.0,8.05,8.0,5.03,15785
233,2.01,2,3,1,60.1,60.0,8.25,8.2,4.94,17476
245,2.0,3,3,3,62.8,57.0,8.05,8.01,5.04,11975
260,2.0,0,5,3,70.2,57.0,7.63,7.59,5.34,15351
300,2.0,2,2,3,63.7,61.0,7.85,7.97,5.04,12221
347,3.51,3,1,4,62.5,59.0,9.66,9.63,6.03,18701
353,2.21,3,3,3,62.9,60.0,8.27,8.23,5.19,13369
380,2.11,3,2,3,58.4,62.0,8.43,8.39,4.91,14615
410,2.08,3,6,3,62.3,59.0,8.22,8.16,5.1,15873
421,2.23,2,4,7,63.5,57.0,8.24,8.2,5.22,7006
423,2.12,4,2,3,61.0,57.0,8.28,8.31,5.06,15647
427,2.09,4,2,1,61.8,56.0,8.15,8.22,5.06,17114
436,2.11,2,2,1,62.4,53.0,8.17,8.27,5.13,14740
443,2.02,3,2,3,61.7,58.0,8.07,8.0,4.96,14350
465,2.35,3,3,1,62.6,60.0,8.42,8.38,5.26,17999
487,2.01,2,2,1,61.7,60.0,7.99,8.12,4.97,13464
533,2.32,4,2,3,62.0,57.0,8.45,8.49,5.25,17516
543,2.01,2,2,1,60.8,60.0,8.12,8.15,4.95,13849
619,2.02,4,5,3,62.7,57.0,8.07,7.93,5.03,13453
641,2.15,4,2,3,61.7,55.0,8.43,8.24,5.14,14519
653,2.11,4,2,1,61.0,57.0,8.37,8.29,5.08,15486
655,2.0,3,6,3,61.8,56.0,8.12,8.05,5.0,18426
656,2.52,0,4,7,66.9,57.0,8.39,8.33,5.6,10076
684,2.03,2,1,2,63.2,60.0,7.94,7.88,5.0,16043
703,2.18,3,1,1,62.9,59.0,8.25,8.21,5.18,13938
743,2.25,2,1,3,60.6,63.0,8.45,8.38,5.1,8442
827,2.2,4,3,3,60.0,58.0,8.47,8.5,5.09,16530
830,2.01,3,2,4,62.7,58.0,7.98,7.94,4.99,16778
860,2.02,4,1,0,61.9,58.0,8.06,8.1,5.0,15231
865,2.01,0,2,4,66.3,57.0,7.79,7.74,5.15,15729
867,3.0,1,1,3,59.3,64.0,9.32,9.19,5.5,14918
877,2.0,1,5,1,63.0,61.0,7.85,7.99,4.99,18376
881,2.09,3,3,1,61.1,56.0,8.3,8.23,5.05,18559
891,2.0,1,1,4,61.4,63.0,8.01,8.08,4.94,13542
893,2.05,4,3,1,62.4,57.0,8.14,8.08,5.06,17294
918,2.03,0,5,1,65.4,58.0,7.9,7.84,5.15,16280
944,2.24,3,3,3,61.4,57.0,8.43,8.35,5.15,16656
952,2.03,3,1,1,62.1,59.0,8.06,8.12,5.02,12862
1004,2.0,4,3,3,61.5,57.0,8.04,8.0,4.93,12587
1028,2.01,4,2,4,64.8,55.0,7.91,7.87,5.12,15729
1031,2.0,3,3,3,58.9,57.0,8.09,58.9,8.06,12210
1044,2.05,2,2,3,59.8,56.0,8.32,8.41,5.0,12839
1082,2.08,3,5,3,62.0,60.0,8.15,8.1,5.04,13437
1119,2.08,3,3,3,58.8,60.0,8.39,8.35,4.92,14462
1170,2.04,3,4,7,62.4,58.0,8.17,8.08,5.07,9905
1191,2.1,3,1,4,61.3,59.0,8.27,8.21,5.05,14359
1229,2.1,3,1,4,58.3,54.0,8.49,8.45,4.94,12401
1271,2.02,3,5,3,61.7,58.0,8.11,8.15,5.02,18320
1280,2.03,4,1,3,63.2,55.0,7.99,8.03,5.06,11951
1377,2.1,3,4,3,62.6,56.0,8.2,8.16,5.12,15175
1379,2.01,4,7,3,62.1,56.0,8.02,8.11,5.01,18674
1424,2.1,3,6,3,62.9,59.0,8.18,8.13,5.13,16783
1471,2.01,2,3,7,61.7,63.0,7.94,7.91,4.89,8104
1485,2.06,3,2,3,62.7,60.0,8.11,8.06,5.07,13198
1509,2.19,1,4,1,63.7,56.0,8.26,8.17,5.23,13978
1512,2.02,2,1,3,62.4,55.0,8.05,8.11,5.04,11757
1523,2.02,4,2,1,62.2,57.0,8.1,8.04,5.02,16704
1549,2.51,2,2,3,62.3,57.0,8.69,8.76,5.44,18090
1579,2.04,1,7,1,61.9,60.0,8.15,8.11,5.03,18468
1585,2.1,3,2,1,61.5,57.0,8.25,8.21,5.06,15007
1598,2.23,3,1,1,62.4,59.0,8.36,8.33,5.21,14258
1623,2.0,2,1,3,61.9,55.0,8.06,8.09,5.0,11792
1658,2.08,3,2,1,60.3,59.0,8.26,8.22,4.97,15065
1672,2.68,3,4,7,58.6,60.0,9.11,9.07,5.33,8419
1693,2.0,3,5,3,61.5,59.0,8.03,7.95,4.92,11413
1704,2.1,2,1,3,59.1,58.0,8.4,8.46,4.98,12381
1719,2.01,2,3,4,63.2,58.0,7.93,8.01,5.04,18507
1749,2.01,1,2,4,65.0,57.0,7.85,7.99,5.15,17497
1756,2.0,4,3,4,61.6,57.0,8.11,8.08,4.99,13531
1761,2.44,3,2,3,61.4,56.0,8.74,8.7,5.35,13027
1767,2.01,2,6,1,60.8,59.0,8.14,8.2,4.97,16956
1777,2.26,4,2,1,62.4,57.0,8.43,8.37,5.24,16904
1793,2.05,4,4,3,59.8,59.0,8.22,8.31,4.94,16446
1818,2.12,3,4,7,60.0,58.0,8.39,8.28,4.99,7508
1850,2.35,3,2,3,61.1,58.0,8.63,8.56,5.25,17294
1852,2.02,3,3,3,61.5,58.0,8.14,8.1,4.99,17166
1860,2.32,2,2,1,63.2,59.0,8.55,8.44,5.37,18371
1864,2.21,3,3,3,61.3,60.0,8.35,8.33,5.11,14299
1969,2.01,2,6,3,63.3,61.0,7.86,7.8,4.96,15618
2000,2.01,0,3,3,64.9,56.0,7.88,7.81,5.09,10184
2034,2.02,1,3,3,60.2,55.0,8.08,8.19,4.9,16565
2100,2.2,4,4,3,62.0,57.0,8.31,8.27,5.14,18168
2109,2.01,1,1,1,63.6,59.0,8.01,7.96,5.08,12369
2122,2.05,3,1,4,62.3,60.0,8.09,8.15,5.06,13543
2124,2.07,3,6,3,61.4,58.0,8.24,8.19,5.04,13786
2138,2.03,4,4,1,63.0,56.0,8.04,7.99,5.05,12618
2150,2.01,4,4,3,62.8,56.0,8.07,8.02,5.05,15841
2165,2.1,1,2,3,62.9,64.0,8.15,8.1,5.11,11818
2209,3.65,0,3,7,67.1,53.0,9.53,9.48,6.38,11668
2239,2.04,3,6,3,58.3,58.0,8.35,8.31,4.86,17379
2294,2.53,0,3,3,64.6,59.0,8.54,8.45,5.4,17103
2329,2.29,2,3,3,63.4,57.0,8.4,8.33,5.3,11502
2342,2.01,2,1,0,60.2,61.0,8.16,8.23,4.93,12845
2359,2.02,4,1,1,62.4,56.0,8.03,8.19,5.06,12591
2361,2.13,3,4,3,60.7,60.0,8.37,8.27,5.05,16931
2379,2.14,3,2,4,60.7,59.0,8.28,8.33,5.04,17038
2410,2.23,3,3,3,59.4,59.0,8.6,8.54,5.09,12921
2415,2.0,4,5,3,62.0,57.0,8.1,8.03,5.0,17871
2427,2.03,3,2,1,59.9,58.0,8.23,8.21,4.92,15095
2430,2.0,0,2,3,69.1,56.0,7.84,7.7,5.37,8736
2511,2.04,3,1,4,60.9,59.0,8.25,8.21,5.01,11209
2527,2.14,1,2,3,63.8,57.0,8.17,8.14,5.2,14452
2606,2.28,3,3,3,62.5,58.0,8.39,8.33,5.23,15413
2660,2.14,4,6,3,62.7,55.0,8.26,8.21,5.16,13065
2691,2.29,3,2,4,60.8,60.0,8.47,8.5,5.16,18653
2721,2.12,3,6,3,62.4,58.0,8.22,8.18,5.12,13884
2777,3.01,0,3,7,56.1,62.0,9.54,9.38,5.31,10761
2781,2.01,3,7,3,59.1,60.0,8.31,8.21,4.88,13811
2808,2.39,4,1,0,62.1,57.0,8.53,8.57,5.31,17365
2845,2.18,2,4,3,63.3,59.0,8.25,8.2,5.2,12377
2846,2.01,3,2,1,60.2,59.0,8.18,8.12,4.91,17474
2856,2.27,4,4,1,61.1,60.0,8.46,8.42,5.16,18343
2945,2.01,3,3,3,61.8,62.0,8.05,7.97,4.95,11646
2992,2.04,2,1,4,59.9,59.0,8.25,8.32,4.96,12095
3007,2.54,4,4,3,62.5,55.0,8.75,8.69,5.45,14421
3021,2.29,4,1,3,62.8,56.0,8.36,8.39,5.25,14500
3028,2.01,3,4,3,61.2,57.2,8.08,8.14,4.97,18705
3038,2.24,3,2,3,61.9,58.0,8.29,8.36,5.15,15375
3050,2.04,2,2,1,63.1,58.0,8.06,7.99,5.06,15412
3073,2.17,1,3,3,58.9,62.0,8.48,8.52,5.01,16036
3079,2.41,4,2,3,62.5,57.0,8.57,8.51,5.34,16987
3111,2.03,4,2,3,60.8,59.0,8.12,8.2,4.96,13398
3128,2.01,1,3,3,63.7,59.0,7.89,7.84,5.01,12423
3233,2.18,4,2,3,61.4,60.0,8.37,8.31,5.12,14870
3238,2.01,3,5,3,62.4,58.0,8.08,8.05,5.03,14279
3250,2.02,2,4,3,63.2,54.0,7.96,7.82,4.99,13554
3255,2.01,3,2,1,60.9,60.0,8.1,8.06,4.92,15528
3284,2.01,0,3,3,65.9,57.0,7.8,7.74,5.12,12617
3307,2.04,3,4,7,62.4,58.0,8.08,8.17,5.07,9727
3311,2.02,2,3,3,58.7,62.0,8.23,8.2,4.82,14795
3319,2.0,2,6,3,63.1,53.0,7.99,8.11,5.08,16380
3322,2.2,3,2,4,62.0,57.0,8.38,8.34,5.18,18364
3337,2.02,3,5,3,62.1,56.0,8.07,7.99,4.99,18678
3383,2.02,3,2,3,62.9,60.0,8.05,8.01,5.05,13991
3392,2.0,3,1,2,63.0,59.0,8.0,7.97,5.03,15214
3406,2.01,1,2,4,63.8,58.0,7.82,7.89,5.01,15147
3431,2.39,4,2,4,62.2,55.0,8.58,8.56,5.33,17955
3553,2.06,4,7,3,60.3,56.0,8.29,8.25,4.99,18371
3605,2.01,3,1,4,61.5,60.0,8.13,8.07,4.98,13228
3610,2.19,3,3,1,62.3,62.0,8.27,8.25,5.15,15801
3621,2.01,1,5,7,64.0,56.0,7.93,7.91,5.07,6686
3666,2.11,3,3,4,60.8,61.0,8.32,8.28,5.05,16395
3699,2.01,4,2,3,62.1,57.0,8.07,8.03,5.0,12338
3804,2.01,0,4,3,65.6,56.0,7.89,7.84,6.16,15562
3819,2.15,2,2,3,63.4,56.0,8.2,8.15,5.18,12100
3840,2.01,4,2,3,61.5,56.0,8.1,8.16,5.0,14103
3846,2.0,0,2,0,58.5,68.0,8.26,8.15,4.8,11322
3856,2.09,2,3,3,60.1,63.0,8.21,8.16,4.92,12295
3904,2.2,4,2,0,61.4,57.0,8.41,8.37,5.15,15092
3906,2.22,3,2,1,59.9,59.0,8.46,8.41,5.05,18432
3965,2.33,4,2,4,62.0,57.0,8.52,8.45,5.26,17504
4001,2.01,2,2,0,63.5,59.0,8.03,7.93,5.07,14792
4025,2.54,3,3,3,61.3,58.0,8.8,8.7,5.36,14717
4038,2.08,3,3,1,62.6,59.0,8.13,8.1,5.08,17778
4041,2.44,2,1,4,60.1,59.0,8.75,8.83,5.28,16533
4046,2.22,2,2,1,62.4,55.0,8.29,8.35,5.19,17160
4053,2.0,1,2,1,63.0,61.0,7.93,7.97,5.01,15072
4104,2.0,0,1,1,66.4,55.0,7.82,7.67,5.15,11189
4106,2.0,1,3,3,63.8,59.0,7.93,7.88,5.04,12554
4114,2.0,3,3,3,61.4,59.0,8.07,8.0,4.93,11108
4144,2.26,3,3,3,61.9,58.0,8.37,8.33,5.17,11226
4168,2.14,3,3,3,62.0,60.0,8.27,8.19,5.1,16723
4174,2.01,2,2,1,61.8,62.0,7.98,8.07,4.96,13691
4197,2.0,3,4,3,61.4,59.0,8.14,8.06,4.97,11544
4231,2.03,3,4,1,61.3,59.0,8.11,8.08,4.96,18423
4232,2.09,3,3,3,62.1,58.0,8.17,8.22,5.09,17001
4237,2.26,3,3,1,60.3,58.0,8.56,8.51,5.15,18426
4304,2.04,3,7,3,61.8,60.0,8.09,8.13,5.01,16872
4322,2.0,1,7,3,63.8,57.0,7.93,7.88,5.04,10528
4335,2.03,3,4,7,61.1,58.0,8.11,8.06,4.94,6377
4341,2.0,3,4,3,60.1,62.0,8.07,8.0,4.83,15485
4355,2.1,0,4,3,61.4,66.0,8.26,8.19,5.05,11946
4408,2.01,4,3,1,61.6,57.0,8.1,8.04,4.97,17403
4436,2.53,4,2,1,62.4,57.0,8.68,8.59,5.39,16709
4469,2.53,3,3,3,62.6,60.0,8.66,8.55,5.39,14659
4516,2.54,2,2,3,62.4,60.0,8.58,8.73,5.4,17996
4519,2.0,2,6,3,63.4,60.0,7.97,7.92,5.04,14763
4533,2.51,1,2,3,63.7,61.0,8.51,8.48,5.41,14209
4569,2.05,1,4,3,63.7,61.0,8.03,7.99,5.1,16295
4650,2.04,2,2,3,62.5,52.0,8.02,8.17,5.06,14477
4662,2.06,3,2,3,61.0,59.0,8.24,8.21,5.02,14982
4700,2.55,3,2,0,61.8,62.0,8.7,8.65,5.36,18766
4730,2.14,4,1,4,62.0,54.0,8.28,8.31,5.15,14802
4743,2.22,3,2,1,62.7,58.0,8.33,8.28,5.21,14095
4757,2.01,3,2,4,62.1,59.0,7.98,8.06,4.98,15379
4796,2.08,4,4,3,61.8,56.0,8.22,8.18,5.07,18124
4816,2.03,2,2,1,62.9,57.0,8.02,8.06,5.06,15153
4847,2.06,3,2,1,60.8,60.0,8.25,8.16,4.99,15494
4861,2.2,2,2,3,60.2,60.0,8.42,8.49,5.09,15424
4876,2.39,2,1,0,59.6,60.0,8.71,8.77,5.21,17920
4927,2.28,3,3,3,62.1,59.0,8.4,8.44,5.23,17892
4936,2.14,3,2,1,61.3,61.0,8.32,8.28,5.09,15913
4986,2.55,1,3,3,63.7,59.0,8.66,8.57,5.49,14775
4994,2.01,4,3,1,59.3,58.0,8.25,8.19,4.87,17403
5000,2.03,2,4,1,61.7,54.0,8.07,8.19,5.02,18507
5005,2.0,1,7,3,64.1,57.0,7.91,7.82,5.04,17094
5040,2.13,4,2,3,62.6,56.0,8.21,8.14,5.12,12356
5079,2.43,3,4,7,61.7,60.0,8.54,8.49,5.25,9716
5110,2.04,2,1,4,63.0,58.0,7.99,8.02,5.04,13609
5120,2.0,3,3,1,61.7,58.0,7.82,7.77,4.81,11200
5121,2.02,3,3,1,62.1,61.0,8.06,7.99,4.98,17265
5128,2.12,4,2,1,62.2,57.0,8.21,8.14,5.08,12284
5131,2.13,3,5,3,61.5,58.0,8.28,8.33,5.11,17045
5144,2.01,3,3,3,61.9,57.0,8.13,7.96,4.98,13199
5148,2.66,1,3,3,63.8,57.0,8.71,8.65,5.54,16239
5159,2.03,4,3,1,64.4,54.0,7.97,7.92,5.12,16900
5188,2.06,3,2,3,61.1,57.0,8.3,8.24,5.05,12842
5191,2.03,4,1,4,62.1,57.0,8.15,8.08,5.04,13880
5213,2.08,1,2,3,57.0,63.0,8.49,8.45,4.83,11313
5229,2.01,1,6,3,63.1,58.0,7.89,8.01,5.02,15255
5242,2.28,4,1,1,61.6,57.0,8.5,8.43,5.21,12755
5268,2.01,3,2,3,63.0,56.0,8.05,7.96,5.05,11312
5280,2.02,2,2,3,61.9,60.0,8.12,8.06,5.01,14715
5281,2.31,2,2,1,62.5,55.0,8.43,8.5,5.29,16801
5296,2.22,1,2,3,62.7,61.2,8.23,8.31,5.19,14285
5304,2.01,1,2,3,56.9,59.0,8.41,8.3,4.74,11312
5358,2.14,2,2,4,59.7,57.0,8.41,8.48,5.04,16914
5369,2.02,3,4,3,61.3,56.0,8.22,8.16,5.02,16929
5382,2.03,4,4,3,61.5,57.0,8.15,8.07,4.99,12154
5436,2.01,1,4,1,60.1,61.0,8.04,8.12,4.86,18374
5469,2.09,4,3,3,60.6,57.0,8.3,8.2,5.0,16703
5499,2.02,3,3,1,61.4,61.0,8.09,8.03,4.95,13229
5503,2.0,3,2,0,61.1,58.0,8.11,8.08,4.95,17436
5526,2.22,0,4,3,64.4,58.0,8.32,8.15,5.3,12508
5533,2.0,4,4,4,62.3,57.0,8.06,7.97,4.99,17760
5573,2.0,3,7,3,61.6,59.0,8.2,8.09,5.02,17835
5575,2.32,3,1,3,62.5,58.0,8.47,8.43,5.28,14666
5611,2.0,1,2,4,63.5,59.0,7.93,7.98,5.05,14889
5679,2.21,2,4,3,60.7,62.0,8.42,8.48,5.13,15825
5693,2.29,3,4,3,60.1,58.0,8.63,8.58,5.17,13711
5707,2.01,4,5,3,61.3,60.0,8.05,8.1,4.95,17798
5786,2.07,3,2,1,59.4,61.0,8.35,8.31,4.95,15392
5800,2.09,4,3,3,62.0,59.0,8.15,8.2,5.07,15589
5834,2.01,1,3,1,56.7,58.0,8.31,8.36,4.73,13929
5851,2.05,4,3,4,61.6,57.0,8.2,8.14,5.03,18659
5855,2.09,3,3,3,61.0,60.0,8.28,8.19,5.02,10182
5866,2.05,3,1,0,62.4,58.0,8.08,8.13,5.06,14224
5871,2.0,0,1,7,66.5,56.0,7.93,7.8,5.23,6796
5982,2.01,1,6,1,58.7,59.0,8.23,8.27,4.84,18027
5996,2.0,2,6,3,58.1,60.0,8.25,8.32,4.81,15840
6013,2.0,1,2,4,63.3,56.0,7.98,8.03,5.07,16544
6026,2.28,3,3,3,61.9,61.0,8.42,8.32,5.18,16954
6035,2.02,3,7,3,61.1,57.0,8.12,8.05,4.94,12108
6041,2.14,0,3,7,66.4,56.0,8.0,7.92,5.29,6328
6060,2.03,4,1,4,60.5,57.0,8.26,8.2,4.98,14083
6077,2.03,3,1,1,62.1,59.0,8.12,8.06,5.02,12979
6114,2.11,0,4,3,65.0,56.0,8.06,8.01,5.22,12633
6133,2.01,2,6,3,61.2,58.0,8.05,8.07,4.93,14813
6161,2.02,2,1,4,61.5,59.0,8.06,8.13,4.98,13564
6195,2.05,3,2,1,61.2,57.0,8.24,8.21,5.03,15837
6198,2.39,3,2,0,61.2,60.0,8.63,8.6,5.27,17642
6223,2.1,3,1,1,62.9,58.0,8.15,8.09,5.11,13930
6255,2.32,3,5,3,62.5,59.0,8.51,8.44,5.3,16237
6352,2.01,0,5,1,58.6,95.0,8.32,8.31,4.87,13387
6390,2.26,2,3,3,63.2,58.0,8.38,8.26,5.26,13095
6513,2.0,1,4,3,64.2,60.0,7.89,7.81,5.04,9999
6535,2.06,2,4,3,59.8,61.0,8.22,8.26,4.93,15805
6553,2.02,3,5,3,61.3,59.0,8.15,8.11,4.98,18274
6583,2.48,2,3,1,63.3,56.0,8.6,8.55,5.43,17893
6595,2.09,3,3,1,60.5,61.0,8.32,8.25,5.01,12063
6613,2.01,3,2,4,61.1,60.0,8.12,8.06,4.94,17592
6615,2.18,3,3,3,62.3,59.0,8.37,8.26,5.18,11579
6675,2.04,2,2,4,62.5,58.0,8.09,8.22,5.1,16874
6706,2.64,4,3,3,62.3,55.0,8.88,8.83,5.52,17407
6722,2.16,3,1,6,61.5,58.0,8.36,8.26,5.11,17891
6774,2.06,4,1,3,61.9,55.0,8.23,8.19,5.08,11337
6792,2.01,3,3,1,61.2,62.0,8.18,8.12,4.99,12829
6816,2.08,3,2,3,61.2,58.0,8.24,8.16,5.02,15321
6838,2.01,2,1,3,63.3,56.0,7.86,7.96,5.01,10490
6908,2.39,3,3,1,60.6,58.0,8.65,8.58,5.22,16687
6949,2.02,4,2,1,61.8,56.0,8.07,8.09,4.99,16560
6974,2.02,3,4,1,62.8,60.0,8.02,7.96,5.02,17692
6993,3.0,3,4,7,59.7,60.0,9.42,9.26,5.58,13203
7040,2.21,2,2,1,62.9,59.0,8.3,8.34,5.23,17784
7041,2.0,0,2,7,66.0,60.0,7.78,7.74,5.1,5667
7060,2.0,3,4,3,61.8,58.0,8.05,7.99,4.96,16262
7119,2.08,3,2,6,62.2,58.0,8.22,8.18,5.1,15654
7126,2.19,4,2,3,62.4,56.0,8.26,8.3,5.17,16147
7139,2.01,2,2,0,59.8,63.0,8.14,8.11,4.86,17068
7152,2.3,4,1,1,62.3,57.0,8.41,8.34,5.22,12316
7154,2.01,2,2,4,62.7,58.0,7.94,7.98,4.99,16626
7168,2.02,3,6,3,59.9,58.0,8.18,8.14,4.89,13677
7189,2.02,2,6,1,59.8,59.0,8.11,8.2,4.88,18731
7211,2.02,3,2,1,62.1,58.0,8.1,8.04,5.01,11119
7238,2.01,2,3,1,62.8,59.0,7.99,8.04,5.03,17759
7255,2.18,3,5,1,61.2,60.0,8.38,8.3,5.1,18717
7288,2.51,3,2,3,62.3,57.0,8.76,8.69,5.44,18255
7331,2.1,2,1,3,62.0,62.0,8.17,8.23,5.08,12196
7334,2.3,2,2,3,60.6,60.0,8.51,8.56,5.17,14603
7338,2.0,1,4,1,63.6,61.0,7.9,7.83,5.0,17405
7368,2.33,3,1,1,59.9,59.0,8.7,8.65,5.2,14711
7383,2.07,2,3,1,59.5,59.0,8.27,8.3,4.92,18489
7410,2.16,3,3,3,59.7,60.0,8.38,8.3,4.98,16400
7460,2.67,1,5,3,63.8,58.0,8.69,8.64,5.54,18686
7477,2.01,4,5,3,62.3,58.0,8.03,8.01,5.0,15955
7557,3.0,1,2,7,57.0,64.0,9.38,9.31,5.33,10863
7575,2.02,4,4,4,62.0,57.0,8.1,8.05,5.01,18700
7583,2.08,2,2,4,58.9,61.0,8.35,8.36,4.92,18281
7612,2.21,2,5,3,61.0,58.0,8.36,8.43,5.12,18483
7686,2.18,4,2,1,61.2,56.0,8.39,8.51,5.17,15646
7705,2.03,2,2,3,61.2,55.0,8.14,8.26,5.02,12714
7708,2.01,3,4,3,59.9,62.0,8.15,8.04,4.85,17014
7709,2.28,2,3,3,63.3,54.0,8.36,8.29,5.27,12907
7713,2.05,4,4,3,61.6,56.0,8.16,8.11,5.01,18181
7733,2.12,3,2,3,60.6,59.0,8.3,8.27,5.02,15235
7801,2.02,3,6,3,58.2,60.0,8.32,8.25,4.82,17938
7825,2.11,3,4,3,59.1,59.0,8.33,8.4,4.94,15757
7858,2.02,2,2,4,63.2,53.0,8.09,8.18,5.14,16179
7921,2.22,4,4,3,62.6,57.0,8.35,8.29,5.21,14637
7948,2.2,2,3,3,63.3,57.0,8.28,8.17,5.21,11088
7962,2.0,2,3,1,60.9,58.0,8.07,8.15,4.94,16280
7977,2.19,3,3,3,61.7,58.0,8.38,8.28,5.14,17554
8029,4.13,0,3,7,64.8,61.0,10.0,9.85,6.43,17329
8032,2.02,3,1,3,63.0,58.0,8.07,8.02,5.07,8640
8035,2.01,4,3,3,61.9,57.0,8.09,8.06,5.0,14040
8044,2.01,3,2,1,60.1,59.0,8.24,8.19,4.94,14558
8057,2.0,1,5,1,63.0,64.0,7.67,7.76,4.86,17869
8084,2.14,2,2,1,61.3,61.0,8.28,8.32,5.09,15769
