id,carat,depth,table,x,y,z,cut_0,cut_1,cut_2,cut_3,cut_4,color_1,color_2,color_3,color_4,color_5,color_6,color_7,clarity_0,clarity_1,clarity_2,clarity_3,clarity_4,clarity_5,clarity_6,clarity_7,price
347,3.51,62.5,59.0,9.66,9.63,6.03,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18701
867,3.0,59.3,64.0,9.32,9.19,5.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14918
1672,2.68,58.6,60.0,9.11,9.07,5.33,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8419
2209,3.65,67.1,53.0,9.53,9.48,6.38,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11668
2777,3.01,56.1,62.0,9.54,9.38,5.31,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10761
5148,2.66,63.8,57.0,8.71,8.65,5.54,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,16239
6706,2.64,62.3,55.0,8.88,8.83,5.52,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17407
6993,3.0,59.7,60.0,9.42,9.26,5.58,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,13203
7460,2.67,63.8,58.0,8.69,8.64,5.54,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,18686
7557,3.0,57.0,64.0,9.38,9.31,5.33,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10863
8029,4.13,64.8,61.0,10.0,9.85,6.43,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17329
8550,2.74,61.5,62.0,8.87,8.9,5.46,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17164
9513,2.61,64.6,55.0,8.61,8.57,5.55,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17209
10674,3.01,63.9,60.0,9.06,9.01,5.77,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18242
11521,4.01,62.5,62.0,10.02,9.94,6.24,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15223
12413,5.01,65.5,59.0,10.74,10.54,6.98,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18018
12420,3.0,60.7,59.0,9.3,9.14,5.6,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16970
12442,3.01,59.8,58.0,9.44,9.37,5.62,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14220
12593,4.01,61.0,61.0,10.14,10.1,6.17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15223
13493,2.75,60.9,57.0,9.04,8.98,5.49,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13156
13808,2.68,63.5,56.0,8.81,8.77,5.58,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9665
14438,3.5,62.8,57.0,9.65,9.59,6.03,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12587
16144,2.75,60.5,61.0,8.99,8.97,5.48,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,15415
16569,3.01,57.6,64.0,9.44,9.38,5.42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,18593
16979,2.8,61.1,59.0,9.03,8.98,5.5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,15030
17902,2.74,64.9,61.0,8.76,8.66,5.65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8807
18271,4.0,63.3,58.0,10.01,9.94,6.31,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15984
18646,3.0,67.1,57.0,8.93,8.84,5.97,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8044
18808,3.01,61.7,58.0,9.25,9.2,5.69,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16037
18933,3.04,59.3,60.0,9.51,9.46,5.62,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18559
20037,3.01,62.7,58.0,9.1,8.97,5.67,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8040
20861,3.01,65.8,56.0,8.99,8.94,5.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18242
21471,2.72,59.6,55.0,9.17,9.13,5.45,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11594
22940,2.74,63.3,58.0,8.88,8.84,5.61,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,17184
23219,2.72,68.2,56.0,8.46,8.43,5.76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6870
25048,3.01,60.7,59.0,9.35,9.22,5.64,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18710
25575,3.24,62.1,58.0,9.44,9.4,5.85,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12300
27554,2.61,64.2,63.0,8.66,8.57,5.53,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,13784
28930,3.01,65.4,60.0,8.99,8.93,5.86,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16538
29972,3.0,63.1,55.0,9.23,9.1,5.77,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6512
32044,2.61,62.1,56.0,8.85,8.73,5.46,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18756
33923,3.02,65.2,56.0,9.11,9.02,5.91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10577
34176,2.77,62.6,62.0,8.93,8.83,5.56,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10424
35006,2.8,63.8,58.0,8.9,8.85,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,18788
37813,2.63,62.1,57.0,8.83,8.88,5.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16914
37864,3.22,62.6,55.0,9.49,9.42,5.92,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12545
38234,2.63,62.3,61.0,8.76,8.81,5.47,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10437
