id,carat,cut,color,clarity,depth,table,price
8,2.05,4,6,1,62.4,57.0,18193
34,2.01,0,1,4,64.9,60.0,13744
42,2.0,1,2,3,64.2,52.0,11400
72,2.0,1,7,3,60.3,56.0,16425
82,2.28,4,1,4,62.7,57.0,16450
93,2.02,2,2,1,60.4,58.0,17357
141,2.0,3,3,3,60.7,60.0,15312
154,2.01,3,2,0,61.5,62.0,15475
165,2.31,3,2,3,62.9,58.0,17218
167,2.01,4,3,1,60.6,57.0,17383
193,2.02,4,3,3,62.7,57.0,15785
233,2.01,2,3,1,60.1,60.0,17476
245,2.0,3,3,3,62.8,57.0,11975
260,2.0,0,5,3,70.2,57.0,15351
300,2.0,2,2,3,63.7,61.0,12221
347,3.51,3,1,4,62.5,59.0,18701
353,2.21,3,3,3,62.9,60.0,13369
380,2.11,3,2,3,58.4,62.0,14615
410,2.08,3,6,3,62.3,59.0,15873
421,2.23,2,4,7,63.5,57.0,7006
423,2.12,4,2,3,61.0,57.0,15647
427,2.09,4,2,1,61.8,56.0,17114
436,2.11,2,2,1,62.4,53.0,14740
443,2.02,3,2,3,61.7,58.0,14350
465,2.35,3,3,1,62.6,60.0,17999
487,2.01,2,2,1,61.7,60.0,13464
533,2.32,4,2,3,62.0,57.0,17516
543,2.01,2,2,1,60.8,60.0,13849
619,2.02,4,5,3,62.7,57.0,13453
641,2.15,4,2,3,61.7,55.0,14519
653,2.11,4,2,1,61.0,57.0,15486
655,2.0,3,6,3,61.8,56.0,18426
656,2.52,0,4,7,66.9,57.0,10076
684,2.03,2,1,2,63.2,60.0,16043
703,2.18,3,1,1,62.9,59.0,13938
743,2.25,2,1,3,60.6,63.0,8442
827,2.2,4,3,3,60.0,58.0,16530
830,2.01,3,2,4,62.7,58.0,16778
860,2.02,4,1,0,61.9,58.0,15231
865,2.01,0,2,4,66.3,57.0,15729
867,3.0,1,1,3,59.3,64.0,14918
877,2.0,1,5,1,63.0,61.0,18376
881,2.09,3,3,1,61.1,56.0,18559
891,2.0,1,1,4,61.4,63.0,13542
893,2.05,4,3,1,62.4,57.0,17294
918,2.03,0,5,1,65.4,58.0,16280
944,2.24,3,3,3,61.4,57.0,16656
952,2.03,3,1,1,62.1,59.0,12862
1004,2.0,4,3,3,61.5,57.0,12587
1028,2.01,4,2,4,64.8,55.0,15729
1031,2.0,3,3,3,58.9,57.0,12210
1044,2.05,2,2,3,59.8,56.0,12839
1082,2.08,3,5,3,62.0,60.0,13437
1119,2.08,3,3,3,58.8,60.0,14462
1170,2.04,3,4,7,62.4,58.0,9905
1191,2.1,3,1,4,61.3,59.0,14359
1229,2.1,3,1,4,58.3,54.0,12401
1271,2.02,3,5,3,61.7,58.0,18320
1280,2.03,4,1,3,63.2,55.0,11951
1377,2.1,3,4,3,62.6,56.0,15175
1379,2.01,4,7,3,62.1,56.0,18674
1424,2.1,3,6,3,62.9,59.0,16783
1471,2.01,2,3,7,61.7,63.0,8104
1485,2.06,3,2,3,62.7,60.0,13198
1509,2.19,1,4,1,63.7,56.0,13978
1512,2.02,2,1,3,62.4,55.0,11757
1523,2.02,4,2,1,62.2,57.0,16704
1549,2.51,2,2,3,62.3,57.0,18090
1579,2.04,1,7,1,61.9,60.0,18468
1585,2.1,3,2,1,61.5,57.0,15007
1598,2.23,3,1,1,62.4,59.0,14258
1623,2.0,2,1,3,61.9,55.0,11792
1658,2.08,3,2,1,60.3,59.0,15065
1672,2.68,3,4,7,58.6,60.0,8419
1693,2.0,3,5,3,61.5,59.0,11413
1704,2.1,2,1,3,59.1,58.0,12381
1719,2.01,2,3,4,63.2,58.0,18507
1749,2.01,1,2,4,65.0,57.0,17497
1756,2.0,4,3,4,61.6,57.0,13531
1761,2.44,3,2,3,61.4,56.0,13027
1767,2.01,2,6,1,60.8,59.0,16956
1777,2.26,4,2,1,62.4,57.0,16904
1793,2.05,4,4,3,59.8,59.0,16446
1818,2.12,3,4,7,60.0,58.0,7508
1850,2.35,3,2,3,61.1,58.0,17294
1852,2.02,3,3,3,61.5,58.0,17166
1860,2.32,2,2,1,63.2,59.0,18371
1864,2.21,3,3,3,61.3,60.0,14299
1969,2.01,2,6,3,63.3,61.0,15618
2000,2.01,0,3,3,64.9,56.0,10184
2034,2.02,1,3,3,60.2,55.0,16565
2100,2.2,4,4,3,62.0,57.0,18168
2109,2.01,1,1,1,63.6,59.0,12369
2122,2.05,3,1,4,62.3,60.0,13543
2124,2.07,3,6,3,61.4,58.0,13786
2138,2.03,4,4,1,63.0,56.0,12618
2150,2.01,4,4,3,62.8,56.0,15841
2165,2.1,1,2,3,62.9,64.0,11818
2209,3.65,0,3,7,67.1,53.0,11668
2239,2.04,3,6,3,58.3,58.0,17379
2294,2.53,0,3,3,64.6,59.0,17103
2329,2.29,2,3,3,63.4,57.0,11502
2342,2.01,2,1,0,60.2,61.0,12845
2359,2.02,4,1,1,62.4,56.0,12591
2361,2.13,3,4,3,60.7,60.0,16931
2379,2.14,3,2,4,60.7,59.0,17038
2410,2.23,3,3,3,59.4,59.0,12921
2415,2.0,4,5,3,62.0,57.0,17871
2427,2.03,3,2,1,59.9,58.0,15095
2430,2.0,0,2,3,69.1,56.0,8736
2511,2.04,3,1,4,60.9,59.0,11209
2527,2.14,1,2,3,63.8,57.0,14452
2606,2.28,3,3,3,62.5,58.0,15413
2660,2.14,4,6,3,62.7,55.0,13065
2691,2.29,3,2,4,60.8,60.0,18653
2721,2.12,3,6,3,62.4,58.0,13884
2777,3.01,0,3,7,56.1,62.0,10761
2781,2.01,3,7,3,59.1,60.0,13811
2808,2.39,4,1,0,62.1,57.0,17365
2845,2.18,2,4,3,63.3,59.0,12377
2846,2.01,3,2,1,60.2,59.0,17474
2856,2.27,4,4,1,61.1,60.0,18343
2945,2.01,3,3,3,61.8,62.0,11646
2992,2.04,2,1,4,59.9,59.0,12095
3007,2.54,4,4,3,62.5,55.0,14421
3021,2.29,4,1,3,62.8,56.0,14500
3028,2.01,3,4,3,61.2,57.2,18705
3038,2.24,3,2,3,61.9,58.0,15375
3050,2.04,2,2,1,63.1,58.0,15412
3073,2.17,1,3,3,58.9,62.0,16036
3079,2.41,4,2,3,62.5,57.0,16987
3111,2.03,4,2,3,60.8,59.0,13398
3128,2.01,1,3,3,63.7,59.0,12423
3233,2.18,4,2,3,61.4,60.0,14870
3238,2.01,3,5,3,62.4,58.0,14279
3250,2.02,2,4,3,63.2,54.0,13554
3255,2.01,3,2,1,60.9,60.0,15528
3284,2.01,0,3,3,65.9,57.0,12617
3307,2.04,3,4,7,62.4,58.0,9727
3311,2.02,2,3,3,58.7,62.0,14795
3319,2.0,2,6,3,63.1,53.0,16380
3322,2.2,3,2,4,62.0,57.0,18364
3337,2.02,3,5,3,62.1,56.0,18678
3383,2.02,3,2,3,62.9,60.0,13991
3392,2.0,3,1,2,63.0,59.0,15214
3406,2.01,1,2,4,63.8,58.0,15147
3431,2.39,4,2,4,62.2,55.0,17955
3553,2.06,4,7,3,60.3,56.0,18371
3605,2.01,3,1,4,61.5,60.0,13228
3610,2.19,3,3,1,62.3,62.0,15801
3621,2.01,1,5,7,64.0,56.0,6686
3666,2.11,3,3,4,60.8,61.0,16395
3699,2.01,4,2,3,62.1,57.0,12338
3804,2.01,0,4,3,65.6,56.0,15562
3819,2.15,2,2,3,63.4,56.0,12100
3840,2.01,4,2,3,61.5,56.0,14103
3846,2.0,0,2,0,58.5,68.0,11322
3856,2.09,2,3,3,60.1,63.0,12295
3904,2.2,4,2,0,61.4,57.0,15092
3906,2.22,3,2,1,59.9,59.0,18432
3965,2.33,4,2,4,62.0,57.0,17504
4001,2.01,2,2,0,63.5,59.0,14792
4025,2.54,3,3,3,61.3,58.0,14717
4038,2.08,3,3,1,62.6,59.0,17778
4041,2.44,2,1,4,60.1,59.0,16533
4046,2.22,2,2,1,62.4,55.0,17160
4053,2.0,1,2,1,63.0,61.0,15072
4104,2.0,0,1,1,66.4,55.0,11189
4106,2.0,1,3,3,63.8,59.0,12554
4114,2.0,3,3,3,61.4,59.0,11108
4144,2.26,3,3,3,61.9,58.0,11226
4168,2.14,3,3,3,62.0,60.0,16723
4174,2.01,2,2,1,61.8,62.0,13691
4197,2.0,3,4,3,61.4,59.0,11544
4231,2.03,3,4,1,61.3,59.0,18423
4232,2.09,3,3,3,62.1,58.0,17001
4237,2.26,3,3,1,60.3,58.0,18426
4304,2.04,3,7,3,61.8,60.0,16872
4322,2.0,1,7,3,63.8,57.0,10528
4335,2.03,3,4,7,61.1,58.0,6377
4341,2.0,3,4,3,60.1,62.0,15485
4355,2.1,0,4,3,61.4,66.0,11946
4408,2.01,4,3,1,61.6,57.0,17403
4436,2.53,4,2,1,62.4,57.0,16709
4469,2.53,3,3,3,62.6,60.0,14659
4516,2.54,2,2,3,62.4,60.0,17996
4519,2.0,2,6,3,63.4,60.0,14763
4533,2.51,1,2,3,63.7,61.0,14209
4569,2.05,1,4,3,63.7,61.0,16295
4650,2.04,2,2,3,62.5,52.0,14477
4662,2.06,3,2,3,61.0,59.0,14982
4700,2.55,3,2,0,61.8,62.0,18766
4730,2.14,4,1,4,62.0,54.0,14802
4743,2.22,3,2,1,62.7,58.0,14095
4757,2.01,3,2,4,62.1,59.0,15379
4796,2.08,4,4,3,61.8,56.0,18124
4816,2.03,2,2,1,62.9,57.0,15153
4847,2.06,3,2,1,60.8,60.0,15494
4861,2.2,2,2,3,60.2,60.0,15424
4876,2.39,2,1,0,59.6,60.0,17920
4927,2.28,3,3,3,62.1,59.0,17892
4936,2.14,3,2,1,61.3,61.0,15913
4986,2.55,1,3,3,63.7,59.0,14775
4994,2.01,4,3,1,59.3,58.0,17403
5000,2.03,2,4,1,61.7,54.0,18507
5005,2.0,1,7,3,64.1,57.0,17094
5040,2.13,4,2,3,62.6,56.0,12356
5079,2.43,3,4,7,61.7,60.0,9716
5110,2.04,2,1,4,63.0,58.0,13609
5120,2.0,3,3,1,61.7,58.0,11200
5121,2.02,3,3,1,62.1,61.0,17265
5128,2.12,4,2,1,62.2,57.0,12284
5131,2.13,3,5,3,61.5,58.0,17045
5144,2.01,3,3,3,61.9,57.0,13199
5148,2.66,1,3,3,63.8,57.0,16239
5159,2.03,4,3,1,64.4,54.0,16900
5188,2.06,3,2,3,61.1,57.0,12842
5191,2.03,4,1,4,62.1,57.0,13880
5213,2.08,1,2,3,57.0,63.0,11313
5229,2.01,1,6,3,63.1,58.0,15255
5242,2.28,4,1,1,61.6,57.0,12755
5268,2.01,3,2,3,63.0,56.0,11312
5280,2.02,2,2,3,61.9,60.0,14715
5281,2.31,2,2,1,62.5,55.0,16801
5296,2.22,1,2,3,62.7,61.2,14285
5304,2.01,1,2,3,56.9,59.0,11312
5358,2.14,2,2,4,59.7,57.0,16914
5369,2.02,3,4,3,61.3,56.0,16929
5382,2.03,4,4,3,61.5,57.0,12154
5436,2.01,1,4,1,60.1,61.0,18374
5469,2.09,4,3,3,60.6,57.0,16703
5499,2.02,3,3,1,61.4,61.0,13229
5503,2.0,3,2,0,61.1,58.0,17436
5526,2.22,0,4,3,64.4,58.0,12508
5533,2.0,4,4,4,62.3,57.0,17760
5573,2.0,3,7,3,61.6,59.0,17835
5575,2.32,3,1,3,62.5,58.0,14666
5611,2.0,1,2,4,63.5,59.0,14889
5679,2.21,2,4,3,60.7,62.0,15825
5693,2.29,3,4,3,60.1,58.0,13711
5707,2.01,4,5,3,61.3,60.0,17798
5786,2.07,3,2,1,59.4,61.0,15392
5800,2.09,4,3,3,62.0,59.0,15589
5834,2.01,1,3,1,56.7,58.0,13929
5851,2.05,4,3,4,61.6,57.0,18659
5855,2.09,3,3,3,61.0,60.0,10182
5866,2.05,3,1,0,62.4,58.0,14224
5871,2.0,0,1,7,66.5,56.0,6796
5982,2.01,1,6,1,58.7,59.0,18027
5996,2.0,2,6,3,58.1,60.0,15840
6013,2.0,1,2,4,63.3,56.0,16544
6026,2.28,3,3,3,61.9,61.0,16954
6035,2.02,3,7,3,61.1,57.0,12108
6041,2.14,0,3,7,66.4,56.0,6328
6060,2.03,4,1,4,60.5,57.0,14083
6077,2.03,3,1,1,62.1,59.0,12979
6114,2.11,0,4,3,65.0,56.0,12633
6133,2.01,2,6,3,61.2,58.0,14813
6161,2.02,2,1,4,61.5,59.0,13564
6195,2.05,3,2,1,61.2,57.0,15837
6198,2.39,3,2,0,61.2,60.0,17642
6223,2.1,3,1,1,62.9,58.0,13930
6255,2.32,3,5,3,62.5,59.0,16237
6352,2.01,0,5,1,58.6,95.0,13387
6390,2.26,2,3,3,63.2,58.0,13095
6513,2.0,1,4,3,64.2,60.0,9999
6535,2.06,2,4,3,59.8,61.0,15805
6553,2.02,3,5,3,61.3,59.0,18274
6583,2.48,2,3,1,63.3,56.0,17893
6595,2.09,3,3,1,60.5,61.0,12063
6613,2.01,3,2,4,61.1,60.0,17592
6615,2.18,3,3,3,62.3,59.0,11579
6675,2.04,2,2,4,62.5,58.0,16874
6706,2.64,4,3,3,62.3,55.0,17407
6722,2.16,3,1,6,61.5,58.0,17891
6774,2.06,4,1,3,61.9,55.0,11337
6792,2.01,3,3,1,61.2,62.0,12829
6816,2.08,3,2,3,61.2,58.0,15321
6838,2.01,2,1,3,63.3,56.0,10490
6908,2.39,3,3,1,60.6,58.0,16687
6949,2.02,4,2,1,61.8,56.0,16560
6974,2.02,3,4,1,62.8,60.0,17692
6993,3.0,3,4,7,59.7,60.0,13203
7040,2.21,2,2,1,62.9,59.0,17784
7041,2.0,0,2,7,66.0,60.0,5667
7060,2.0,3,4,3,61.8,58.0,16262
7119,2.08,3,2,6,62.2,58.0,15654
7126,2.19,4,2,3,62.4,56.0,16147
7139,2.01,2,2,0,59.8,63.0,17068
7152,2.3,4,1,1,62.3,57.0,12316
7154,2.01,2,2,4,62.7,58.0,16626
7168,2.02,3,6,3,59.9,58.0,13677
7189,2.02,2,6,1,59.8,59.0,18731
7211,2.02,3,2,1,62.1,58.0,11119
7238,2.01,2,3,1,62.8,59.0,17759
7255,2.18,3,5,1,61.2,60.0,18717
7288,2.51,3,2,3,62.3,57.0,18255
7331,2.1,2,1,3,62.0,62.0,12196
7334,2.3,2,2,3,60.6,60.0,14603
7338,2.0,1,4,1,63.6,61.0,17405
7368,2.33,3,1,1,59.9,59.0,14711
7383,2.07,2,3,1,59.5,59.0,18489
7410,2.16,3,3,3,59.7,60.0,16400
7460,2.67,1,5,3,63.8,58.0,18686
7477,2.01,4,5,3,62.3,58.0,15955
7557,3.0,1,2,7,57.0,64.0,10863
7575,2.02,4,4,4,62.0,57.0,18700
7583,2.08,2,2,4,58.9,61.0,18281
7612,2.21,2,5,3,61.0,58.0,18483
7686,2.18,4,2,1,61.2,56.0,15646
7705,2.03,2,2,3,61.2,55.0,12714
7708,2.01,3,4,3,59.9,62.0,17014
7709,2.28,2,3,3,63.3,54.0,12907
7713,2.05,4,4,3,61.6,56.0,18181
7733,2.12,3,2,3,60.6,59.0,15235
7801,2.02,3,6,3,58.2,60.0,17938
7825,2.11,3,4,3,59.1,59.0,15757
7858,2.02,2,2,4,63.2,53.0,16179
7921,2.22,4,4,3,62.6,57.0,14637
7948,2.2,2,3,3,63.3,57.0,11088
7962,2.0,2,3,1,60.9,58.0,16280
7977,2.19,3,3,3,61.7,58.0,17554
8029,4.13,0,3,7,64.8,61.0,17329
8032,2.02,3,1,3,63.0,58.0,8640
8035,2.01,4,3,3,61.9,57.0,14040
8044,2.01,3,2,1,60.1,59.0,14558
8057,2.0,1,5,1,63.0,64.0,17869
8084,2.14,2,2,1,61.3,61.0,15769
8105,2.16,4,6,3,61.4,57.0,17263
8115,2.32,4,2,3,62.0,57.0,17676
8136,2.0,3,1,4,61.5,59.0,13675
8143,2.5,3,3,3,62.7,59.0,12071
8173,2.0,2,6,1,60.5,59.0,18709
8200,2.01,3,4,1,62.3,61.0,16242
8217,2.57,3,7,3,58.9,58.0,17924
8236,2.09,2,5,3,62.7,61.0,16824
8286,2.01,4,2,1,62.3,57.0,15680
8298,2.11,3,2,3,62.3,56.0,13701
8303,2.27,3,2,3,62.5,59.0,14937
8374,2.14,0,1,7,69.4,57.0,5405
8423,2.0,3,7,3,60.8,60.0,16484
8441,2.02,3,1,4,62.0,59.0,13812
8443,2.03,4,4,3,61.1,57.0,17182
8444,2.44,2,1,1,62.9,53.0,17472
8456,2.0,0,3,3,64.5,56.0,11655
8460,2.29,3,1,5,61.4,60.0,18426
8477,2.0,2,1,3,60.9,54.0,10907
8478,2.14,3,3,3,61.2,57.0,13421
8540,2.1,2,2,4,59.4,60.0,17837
8550,2.74,2,1,3,61.5,62.0,17164
8554,2.14,4,2,3,61.9,56.0,14321
8578,2.01,2,1,4,60.8,58.0,12968
8593,2.53,3,3,3,61.1,57.0,15148
8599,2.37,4,3,3,62.1,55.0,16937
8630,2.08,3,2,3,62.3,58.0,14947
8635,2.45,4,5,3,62.0,55.0,16589
8656,2.04,4,5,3,62.4,56.0,17049
8659,2.02,2,7,3,62.3,56.0,17263
8690,2.14,4,2,1,62.1,58.0,17213
8710,2.1,3,2,4,59.2,60.0,13753
8719,2.01,4,3,1,61.5,55.0,14837
8723,2.08,2,6,3,62.4,60.0,18128
8745,2.01,1,5,3,64.0,58.0,17313
8827,2.01,3,6,3,62.0,61.0,17179
8836,2.08,2,1,4,60.6,61.0,13732
8843,2.38,3,1,3,60.6,59.0,10716
8865,2.05,4,5,3,62.0,56.0,17957
8906,2.2,4,3,3,62.6,55.0,14408
8916,2.51,4,3,1,62.9,56.0,15324
8953,2.0,4,2,0,62.0,57.0,17607
9029,2.0,3,3,3,62.1,60.0,11202
9033,2.37,3,2,4,61.6,56.0,14837
9052,2.04,1,5,3,64.0,57.0,14936
9140,2.0,2,3,1,63.3,59.0,16872
9151,2.03,3,5,3,60.9,59.0,12021
9156,2.0,4,3,1,65.0,61.0,18604
9157,2.02,2,1,1,63.0,56.0,12267
9161,2.18,3,3,3,59.4,61.0,12631
9187,2.06,4,2,4,59.2,57.0,15691
9201,2.22,4,4,3,62.5,54.0,17123
9252,2.01,4,1,1,62.8,58.0,9725
9281,2.0,2,4,1,62.5,58.0,18186
9286,2.0,3,5,1,62.6,59.0,18493
9305,2.01,1,2,4,62.4,62.0,16304
9311,2.06,2,2,3,62.3,57.0,14298
9319,2.03,2,2,4,59.9,59.0,16422
9338,2.01,4,1,3,62.1,56.0,12814
9340,2.1,4,3,4,62.5,57.0,13403
9420,2.1,4,3,1,62.9,57.0,18648
9426,2.0,4,1,4,61.0,57.0,14323
9457,2.0,3,1,4,62.9,60.0,11966
9459,2.01,1,4,3,63.6,59.0,15832
9513,2.61,4,1,3,64.6,55.0,17209
9541,2.15,4,2,1,60.9,56.0,13006
9552,2.23,3,1,1,62.1,59.0,13069
9558,2.01,4,2,3,62.1,55.0,12349
9583,2.01,1,2,1,64.1,60.0,10184
9609,2.03,4,2,3,60.0,57.0,13182
9624,2.48,2,3,3,63.3,56.0,15746
9632,2.04,3,2,4,62.5,58.0,17028
9675,2.07,4,4,3,62.5,55.0,18804
9679,2.14,3,3,1,62.3,58.0,14490
9684,2.24,2,3,3,62.3,57.0,16077
9722,2.46,4,4,3,63.0,56.0,15745
9734,2.25,4,2,3,62.4,57.0,17143
9743,2.04,2,3,3,62.7,56.0,15618
9744,2.14,3,2,4,59.3,59.0,15418
9750,2.6,0,4,3,64.6,57.0,17027
9782,2.06,2,1,4,62.6,58.0,14119
9828,2.01,4,5,3,62.9,56.0,13201
9870,2.01,1,3,1,62.2,58.0,16737
9918,2.09,4,1,0,61.2,59.0,15172
10018,2.0,4,2,0,62.3,56.0,12907
10060,2.02,0,1,3,67.5,59.0,9095
10077,2.01,2,7,3,58.3,63.0,12639
10219,2.16,1,2,4,63.6,56.0,14266
10220,2.47,3,1,3,59.4,59.0,16532
10246,2.01,4,4,1,59.2,57.0,17492
10250,2.1,4,3,1,61.7,53.0,15035
10260,2.05,3,4,1,62.2,56.0,13767
10266,2.09,2,5,3,61.3,59.0,18509
10399,2.04,4,4,1,61.9,58.0,18153
10402,2.01,3,5,3,61.3,58.0,14067
10408,2.06,1,1,1,64.1,56.0,11746
10462,2.02,2,3,1,63.4,60.0,17672
10476,2.07,3,6,1,61.2,58.0,16957
10487,2.09,2,5,3,60.2,61.0,15773
10491,2.01,2,7,3,61.8,59.0,17079
10549,2.09,1,5,3,63.4,55.0,18472
10579,2.29,3,4,3,62.4,60.0,15366
10589,2.04,2,4,3,61.4,58.0,15092
10603,2.0,1,4,1,59.1,61.0,17930
10611,2.57,3,6,3,61.3,60.0,17116
10624,2.0,0,3,7,66.8,57.0,8064
10630,2.1,0,4,3,65.0,56.0,11923
10658,2.23,3,4,3,61.4,58.0,16805
10674,3.01,1,2,3,63.9,60.0,18242
10700,2.3,4,4,3,61.4,57.0,14744
10702,2.27,3,1,0,62.4,58.0,16994
10728,2.1,2,3,1,62.9,57.0,18480
10746,2.1,2,3,3,63.0,57.0,16479
10773,2.01,4,3,3,61.9,57.0,14167
10785,2.26,4,1,4,61.1,57.0,17010
10821,2.01,3,4,4,60.6,59.0,17057
10831,2.0,4,2,1,62.8,56.0,15043
10843,2.0,4,2,1,62.9,59.0,15218
10865,2.02,4,1,1,62.7,54.2,12884
10880,2.01,4,2,1,64.8,62.0,16287
10884,2.06,3,2,3,62.2,60.0,11190
10885,2.01,2,2,2,63.5,58.0,15952
10887,2.01,4,2,1,62.9,55.0,12606
10902,2.01,4,3,0,61.9,57.0,17983
10940,2.01,2,3,1,60.0,58.0,17095
10953,2.01,4,2,1,59.9,60.0,17126
10954,2.01,4,5,3,61.9,55.0,18395
10964,2.42,3,1,3,62.4,58.0,16198
10969,2.03,3,1,3,61.6,58.0,12380
10989,2.28,3,1,4,62.9,58.0,16564
11020,2.02,3,4,3,61.0,58.0,15498
11113,2.01,2,6,3,59.3,61.0,17759
11117,2.23,3,1,4,61.0,58.0,14867
11126,2.01,1,5,3,62.9,58.0,16013
11203,2.06,1,3,7,64.3,58.0,6091
11247,2.04,3,2,3,60.3,60.0,14660
11249,2.01,2,2,4,62.5,58.0,15819
11299,2.14,0,5,3,64.8,60.0,13825
11304,2.04,2,3,3,63.2,58.0,13790
11306,2.0,1,3,4,63.8,59.0,18023
11333,2.01,2,1,1,60.3,58.0,12392
11348,2.08,4,2,4,62.0,56.0,17916
11360,2.24,4,3,3,61.4,56.0,16300
11367,2.02,1,2,4,57.9,62.0,16789
11372,2.1,2,4,3,63.4,58.0,13007
11380,2.5,4,1,3,63.8,53.0,15246
11469,2.25,0,3,7,67.7,58.0,6653
11517,2.2,3,2,3,61.8,54.0,13719
11521,4.01,3,1,7,62.5,62.0,15223
11555,2.01,2,3,3,63.4,58.0,12617
11579,2.06,0,1,0,64.6,58.0,14750
11596,2.02,2,4,3,63.3,57.0,9853
11620,2.04,3,3,1,63.0,58.0,18115
11628,2.18,2,2,3,58.9,60.0,15684
11637,2.14,3,4,3,60.4,59.0,17513
11651,2.01,4,4,1,62.1,57.0,18736
11652,2.36,4,2,3,62.8,55.0,16707
11679,2.01,4,1,0,60.9,56.0,16319
11735,2.25,3,7,3,60.4,59.0,18007
11763,2.25,3,2,3,61.9,59.0,11114
11785,2.07,2,3,1,59.8,58.0,17019
11883,2.14,4,3,1,61.5,57.0,18528
11895,2.05,4,1,2,62.7,56.0,17214
11943,2.14,4,4,3,62.9,56.0,14359
11965,2.01,3,1,1,61.7,60.0,9793
11970,2.02,4,1,0,61.8,57.0,16397
11979,2.0,3,4,3,60.7,60.0,10833
11995,2.01,3,1,3,62.0,59.0,12403
12002,2.01,2,5,1,63.4,58.0,13275
12026,2.35,3,1,0,60.7,60.0,14399
12055,2.01,3,6,1,60.4,61.0,12898
12116,2.01,3,2,1,62.4,61.0,15528
12117,2.0,2,1,4,60.8,62.0,13043
12134,2.33,2,1,4,61.8,59.0,14801
12158,2.14,2,7,3,60.3,60.0,18526
12289,2.0,2,1,0,61.0,51.6,13203
12314,2.33,2,3,3,63.2,56.0,13500
12331,2.02,0,3,1,56.2,61.0,15695
12386,2.03,2,2,1,62.2,59.0,16693
12389,2.19,4,7,3,61.8,57.0,18693
12413,5.01,0,1,7,65.5,59.0,18018
12420,3.0,3,2,3,60.7,59.0,16970
12442,3.01,3,4,3,59.8,58.0,14220
12457,2.0,0,3,7,69.8,54.0,5914
12468,2.01,3,4,4,61.4,58.0,17987
12508,2.27,0,1,7,67.6,55.0,5733
12533,2.14,3,5,3,58.2,61.0,17742
12569,2.0,1,1,1,64.1,58.0,9193
12579,2.0,2,5,1,63.3,56.0,15851
12581,2.01,2,5,3,61.6,56.0,15188
12593,4.01,3,2,7,61.0,61.0,15223
12609,2.01,4,4,3,61.5,55.0,11602
12625,2.02,3,2,3,59.4,59.0,14211
12626,2.52,0,1,3,65.1,56.0,15776
12700,2.01,4,2,0,62.5,56.0,17068
12703,2.02,3,4,3,60.1,59.0,16944
12730,2.02,4,3,4,62.6,57.0,14182
12770,2.01,2,2,4,59.2,62.0,16626
12784,2.0,2,5,1,57.9,60.0,18759
12799,2.03,3,3,3,58.1,59.0,10879
12805,2.07,4,3,1,60.6,56.0,14935
12819,2.26,4,3,3,62.2,56.0,17312
12871,2.01,4,2,1,62.5,57.0,15140
12916,2.02,4,3,3,62.1,56.0,12485
12936,2.01,1,2,4,63.6,57.0,16149
12950,2.0,1,1,0,62.4,58.0,14973
12980,2.01,3,5,3,60.3,60.0,16881
12998,2.06,3,5,3,61.7,59.0,16857
13021,2.32,4,3,1,62.6,57.0,18080
13083,2.51,1,4,3,59.5,65.0,14251
13133,2.09,4,3,1,60.6,57.0,14383
13137,2.5,4,1,3,64.0,55.0,14502
13192,2.09,3,5,3,61.2,57.0,12377
13212,2.01,2,3,1,58.2,63.0,18027
13216,2.01,2,3,1,60.6,62.0,16582
13304,2.1,0,5,3,59.5,69.0,16506
13317,2.47,3,2,3,62.5,56.0,14970
13323,2.02,3,3,1,62.2,59.0,14574
